Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
what is sales tax for nyc,13,15,1900,46,0.69,https://www.calculator.net/sales-tax-calculator.html,9,0,6.00,0.02,391000000,"[5,52,8,100,52,36,66,52,52,80,80,66]",2026-04-21,"Video, Related searches, AI overview",informational,Organic
factors of 26,11,11,6600,22,0.00,https://www.calculator.net/factor-calculator.html,9,0,0.00,0,1030000000,"[29,24,29,44,36,13,8,19,44,44,29,19]",2026-04-15,"Image pack, Sitelinks, Video, People also ask, Related searches, Short videos, AI overview",informational,Organic
present worth calculator,13,13,1300,37,1.53,https://www.calculator.net/future-value-calculator.html,9,0,13.00,0.02,305000000,"[5,10,24,8,19,3,8,5,6,2,3,0]",2026-03-26,"Video, Related searches",informational,Organic
45 times 5,14,14,1900,27,0.00,https://www.calculator.net/fraction-calculator.html?c2d1=1.2&ctype=2&x=0&y=0,9,0,0.00,0,97,"[34,34,55,65,65,44,24,55,100,100,82,82]",2026-03-29,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
x xxii roman numerals,11,11,2400,51,0.00,https://www.calculator.net/roman-numeral-converter.html,9,0,0.00,0.01,793000,"[0,0,0,0,0,0,0,1,0,67,1,0]",2026-04-20,"Image pack, Video, Video Carousel, Related searches, AI overview",informational,Organic
factors of 6,17,17,6600,37,0.00,https://www.calculator.net/factor-calculator.html,9,0,0.00,0,1880000000,"[19,24,19,44,29,7,5,16,29,36,29,24]",2026-04-18,"Image pack, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
factors of 6,19,19,6600,37,0.00,https://www.calculator.net/factor-calculator.html,9,0,0.00,0,1880000000,"[19,24,19,44,29,7,5,16,29,36,29,24]",2026-04-18,"Image pack, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
what is my bmi and what should it be,11,11,2400,93,0.22,https://www.calculator.net/bmi-calculator.html,9,0,1.00,0.5,79900000,"[3,100,100,81,44,66,0,16,44,35,44,35]",2026-04-18,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
roman number 14,13,13,1900,43,0.00,https://www.calculator.net/roman-numeral-converter.html,9,0,0.00,0.03,574000000,"[36,54,100,0,13,5,7,5,4,5,3,3]",2026-03-12,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
horsepower estimator,11,11,720,17,0.00,https://www.calculator.net/engine-horsepower-calculator.html,9,0,0.00,0,13700000,"[20,46,84,68,52,52,13,16,20,37,25,25]",2026-03-24,"Video, Related searches",informational,Organic
convert apy to apr,11,11,720,24,5.46,https://www.calculator.net/apr-calculator.html,9,0,49.00,0.01,1670000,"[45,55,67,55,55,45,55,45,55,55,45,55]",2026-03-27,"Video, Related searches",informational,Organic
64 divided by 2,11,11,2400,28,0.00,https://www.calculator.net/long-division-calculator.html,9,0,0.00,0,66,"[29,22,54,81,65,20,13,36,81,81,65,54]",2026-04-20,"Instant answer, Sitelinks, Video, People also ask, Related searches",informational,Organic
healthy weight for 5 10 male,11,11,1000,55,0.51,https://www.calculator.net/ideal-weight-calculator.html,9,0,4.00,0.09,1500000000,"[20,24,41,79,20,54,79,20,66,20,20,41]",2026-04-04,"Sitelinks, Related searches, AI overview",informational,Organic
euro us dollar conversion calculator,12,12,1300,77,0.01,https://www.calculator.net/currency-calculator.html,9,0,0.00,0.06,3510000,"[0,3,100,0,0,0,0,0,0,0,66,66]",2026-03-10,"Instant answer, Related searches",informational,Organic
500-350,15,15,1900,14,0.00,https://www.calculator.net/ratio-calculator.html,9,0,0.00,0,1070000,"[3,4,65,16,10,10,81,100,100,20,100,16]",2026-03-11,"Instant answer, Video",informational,Organic
dress size calculator,14,14,1900,35,1.72,https://www.calculator.net/body-type-calculator.html,9,0,15.00,0.03,80,"[82,55,82,55,55,55,65,82,65,55,44,44]",2026-04-17,"Image pack, Sitelinks, Video, Related searches",informational,Organic
130 km/h to mph,11,11,1000,25,0.00,https://www.calculator.net/speed-calculator.html,9,0,0.00,0,86,"[1,3,3,66,0,52,66,0,100,7,8,7]",2026-03-18,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
1.2 miles in km,14,14,1900,34,0.00,https://www.calculator.net/pace-calculator.html,9,0,0.00,0,99300000,"[35,44,81,18,16,35,100,35,29,18,4,7]",2026-03-09,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
bulking calculator,16,16,2400,30,0.05,https://www.calculator.net/protein-calculator.html,9,0,0.00,0.23,108,"[66,53,53,44,44,44,44,44,44,35,35,29]",2026-04-18,"Sitelinks, Video, Related searches",informational,Organic
conversion of hours and minutes,12,12,2400,51,0.00,https://www.calculator.net/hours-calculator.html,9,0,0.00,0,338000000,"[3,0,1,100,43,54,0,13,24,36,66,54]",2026-04-17,"Instant answer, Video, Video Carousel, Related searches",informational,Organic
days until may 31,11,7,1300,12,0.00,https://www.calculator.net/day-counter.html,9,0,0.00,0,1980000000,"[24,36,54,81,54,1,1,2,3,3,3,2]",2026-04-21,"Image pack, Video, Related searches, AI overview",informational,Organic
0 slope,11,11,2400,28,0.00,https://www.calculator.net/slope-calculator.html,9,0,0.00,0,99,"[65,22,36,65,22,65,16,100,100,54,54,54]",2026-04-16,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
30 working days from today,13,13,1300,55,0.00,https://www.calculator.net/day-counter.html,9,0,0.00,0,5550000000,"[25,68,37,100,68,68,68,37,68,100,52,68]",2026-04-03,"Video, Related searches",informational,Organic
2025 in roman numerals,20,20,6600,30,0.00,https://www.calculator.net/roman-numeral-converter.html,9,0,0.00,0,26100000,"[100,81,54,81,100,81,66,54,54,66,81,81]",2026-04-20,"Instant answer, Video, Related searches",informational,Organic
mortgage payment calculator texas,16,16,2400,67,0.64,https://www.calculator.net/mortgage-calculator.html,9,0,5.00,0.57,88,"[8,2,12,19,4,10,6,16,8,66,19,10]",2026-04-18,"Sitelinks, Video, Related searches",commercial,Organic
date duration calculator days between dates,11,11,720,80,0.00,https://www.calculator.net/time-duration-calculator.html,9,0,0.00,0,0,"[88,59,59,72,59,100,88,72,48,72,72,48]",2026-03-15,"Video, Related searches","informational, navigational",Organic
type of body shapes female,13,8,1900,35,0.05,https://www.calculator.net/body-type-calculator.html,9,0,0.00,0,162,"[0,1,0,100,0,0,0,0,4,5,0,0]",2026-04-21,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
how many days until sept 1,11,11,1000,27,0.00,https://www.calculator.net/day-counter.html,9,0,0.00,0,479000000,"[7,1,0,2,3,7,13,24,0,0,5,1]",2026-04-15,"Instant answer, Video, Related searches",informational,Organic
mortgage estimator usa,18,18,6600,75,0.61,https://www.calculator.net/mortgage-calculator.html,9,0,5.00,0.28,62400000,"[1,81,100,54,24,54,0,2,16,13,24,13]",2026-04-16,"Sitelinks, Video, Related searches, AI overview",informational,Organic
a circle equation,16,16,6600,48,0.00,https://www.calculator.net/circle-calculator.html,9,0,0.00,0,181000000,"[0,0,0,100,44,16,0,2,0,0,0,0]",2026-04-18,"Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
euro to dollar converter,12,12,1300,69,0.01,https://www.calculator.net/currency-calculator.html,9,0,0.00,0.06,154000000,"[24,16,18,24,29,44,66,29,29,18,10,8]",2026-04-17,"Instant answer, Video, Related searches",informational,Organic
compare refi mortgage rates,11,11,1300,72,11.82,https://www.calculator.net/refinance-calculator.html,9,0,106.00,0.01,73300000,"[0,0,12,2,5,100,23,1,4,16,0,0]",2026-02-28,"Sitelinks, Video, Related searches, AI overview",informational,Organic
area calculator tool,13,13,1300,58,0.00,https://www.calculator.net/surface-area-calculator.html,9,0,0.00,0.01,471000000,"[0,0,0,0,0,0,0,0,0,2,100,0]",2026-04-07,"Video, Related searches",informational,Organic
united states currency converter,11,11,1000,87,0.12,https://www.calculator.net/currency-calculator.html,9,0,1.00,0.02,50400000,"[5,65,55,100,65,55,3,7,44,44,5,2]",2026-03-14,"Instant answer, Related searches",informational,Organic
7 months how many weeks pregnant,11,9,2400,47,0.83,https://www.calculator.net/pregnancy-calculator.html,9,0,7.00,0.01,562000000,"[5,2,1,100,43,66,1,13,24,36,66,36]",2026-04-22,"Sitelinks, Video, Ads bottom, Related searches, Discussions and forums, AI overview",informational,Organic
dollar to english pound calculator,14,14,1900,45,0.01,https://www.calculator.net/currency-calculator.html,9,0,0.00,0.04,0,"[4,43,81,100,54,65,1,20,43,29,36,43]",2026-03-11,"Instant answer, Video, Related searches",informational,Organic
30 hr yearly salary,12,12,1300,34,1.14,https://www.calculator.net/salary-calculator.html,9,0,10.00,0,22300000,"[24,41,20,41,79,66,79,100,66,41,54,66]",2026-03-14,"Sitelinks, Related searches, AI overview",informational,Organic
female 20 body fat,12,12,1300,18,0.00,https://www.calculator.net/body-fat-calculator.html,9,0,0.00,0,1080000000,"[52,84,100,84,68,84,84,84,16,68,68,68]",2026-03-26,"Image pack, Video, Image, Related searches",informational,Organic
probability and probability,17,17,6600,52,1.17,https://www.calculator.net/probability-calculator.html,9,0,10.00,0,165000000,"[0,0,0,1,1,0,0,4,44,29,100,81]",2026-04-20,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
300 kph to miles,19,19,6600,26,0.00,https://www.calculator.net/speed-calculator.html,9,0,0.00,0,5170000,"[0,2,81,100,0,0,0,3,44,1,0,0]",2026-04-19,"Sitelinks, Video, Related searches, AI overview",informational,Organic
stair risers,19,19,6600,24,0.74,https://www.calculator.net/stair-calculator.html,9,0,6.00,1,187,"[54,44,66,66,54,54,66,54,44,66,54,44]",2026-04-16,"Sitelinks, Video, Image, Popular products, Related searches, Things to know, AI overview","commercial, informational",Organic
exam grade calculator,20,20,6600,54,0.00,https://www.calculator.net/gpa-calculator.html,9,0,0.00,0,181000000,"[10,3,7,8,24,7,1,0,2,7,10,13]",2026-04-16,Related searches,"commercial, informational",Organic
24 times 6,14,14,1900,29,0.00,https://www.calculator.net/fraction-calculator.html?c2d1=1.4&ctype=2&x=0&y=0,9,0,0.00,0,4200000000,"[34,44,55,100,82,34,24,55,100,100,82,65]",2026-04-17,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
american tax calculator,12,12,1300,62,1.08,https://www.calculator.net/sales-tax-calculator.html,9,0,9.00,0.09,268000000,"[100,53,13,44,24,3,7,3,2,5,4,5]",2026-04-19,"Video, Related searches",commercial,Organic
women's body mass index,11,11,1300,80,0.25,https://www.calculator.net/bmi-calculator.html,9,0,2.00,0.27,649000000,"[1,0,0,0,3,2,0,3,66,2,0,100]",2026-03-29,"Image pack, Video, Related searches, AI overview",informational,Organic
130 km to mph,12,12,1300,20,0.00,https://www.calculator.net/speed-calculator.html,9,0,0.00,0,26400000,"[65,34,44,55,44,65,55,65,44,44,44,24]",2026-04-16,"Sitelinks, Video, Related searches, AI overview",informational,Organic
nearest hundredth,14,14,6600,33,0.00,https://www.calculator.net/rounding-calculator.html,9,0,0.00,0,2410000,"[44,54,66,81,54,24,16,29,54,44,36,36]",2026-04-19,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
watcher 123,11,11,720,21,1.84,https://www.calculator.net/weight-watchers-points-calculator.html,9,0,16.00,0.02,4240000,"[0,0,0,0,100,100,2,46,84,100,0,0]",2026-04-06,"Sitelinks, Video, Related searches",informational,Organic
square root of 29,11,11,6600,25,0.00,https://www.calculator.net/root-calculator.html?cvar2=27&ctype=2&x=0&y=0,9,0,0.00,0,99,"[24,24,36,66,54,10,7,29,54,36,29,29]",2026-04-19,"Instant answer, Video, Video Carousel, People also ask, Related searches",informational,Organic
euro to usd conversion calculator,14,14,1900,64,0.01,https://www.calculator.net/currency-calculator.html,9,0,0.00,0.06,101,"[35,29,24,53,35,29,81,29,29,29,35,29]",2026-03-09,"Instant answer, Related searches",informational,Organic
3 weeks after january 12th 2025,15,15,1900,54,0.00,https://www.calculator.net/day-counter.html,9,0,0.00,0,0,[100],2026-03-11,"Video, Related searches",informational,Organic
to day calculator,15,15,1900,72,0.00,https://www.calculator.net/day-counter.html,9,0,0.00,0,670000000,"[3,100,100,81,0,53,0,16,44,44,4,4]",2026-03-26,Related searches,"informational, navigational",Organic
110 kms to mph,12,12,1300,18,0.00,https://www.calculator.net/speed-calculator.html,9,0,0.00,0,111,"[1,81,100,0,0,5,0,4,43,0,7,4]",2026-03-28,"Sitelinks, Video, Related searches, AI overview",informational,Organic
income tax return calculator,15,18,2400,72,0.34,https://www.calculator.net/tax-calculator.html,9,0,3.00,0.3,403000000,"[81,54,44,19,5,5,10,8,10,12,19,44]",2026-04-21,"Video, Related searches",commercial,Organic
what time is 6 hours from now,13,13,1300,7,0.00,https://www.calculator.net/hours-calculator.html,9,0,0.00,0,4410000000,"[31,84,84,84,52,52,52,68,37,37,84,68]",2026-04-19,"Video, Related searches",informational,Organic
9 months before july,15,15,1900,23,0.00,https://www.calculator.net/date-calculator.html,9,0,0.00,0,0,"[52,52,52,44,44,52,100,36,36,27,44,66]",2026-03-08,"Video, Related searches",informational,Organic
1rm calc,19,19,6600,57,0.01,https://www.calculator.net/one-rep-max-calculator.html,9,0,0.00,0,2660000,"[44,66,44,36,36,36,36,36,44,66,100,100]",2026-04-16,"Video, People also ask, Related searches",informational,Organic
140 knots to mph,12,12,1300,28,0.00,https://www.calculator.net/speed-calculator.html,9,0,0.00,0,1290000,"[79,54,36,41,41,54,54,54,41,66,79,41]",2026-04-16,"Instant answer, Video, Related searches",informational,Organic
square root of 30,19,19,6600,30,0.00,https://www.calculator.net/root-calculator.html,9,0,0.00,0,289000000,"[29,29,54,66,54,19,12,44,66,54,36,44]",2026-04-19,"Instant answer, Sitelinks, Video, People also ask, Related searches",informational,Organic
metric system units,16,16,6600,52,0.00,https://www.calculator.net/conversion-calculator.html,9,0,0.00,0.07,188000000,"[54,54,44,54,54,23,23,36,100,66,36,54]",2026-04-15,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
20 percent of 1000,11,11,2400,26,0.00,https://www.calculator.net/percent-calculator.html?ctype=22&x=46,9,0,0.00,0,997000000,"[65,82,65,82,65,65,82,55,65,100,82,100]",2026-04-15,"Instant answer, Sitelinks, Video, People also ask, Related searches",informational,Organic
1/3 as a percent,15,15,6600,24,0.00,https://www.calculator.net/percent-calculator.html?ctype=22&x=46,9,0,0.00,0,193000000,"[24,29,54,66,36,36,13,24,36,44,19,24]",2026-04-19,"Video, Related searches, Questions and answers, AI overview",informational,Organic
12 times 4,19,13,6600,31,0.00,https://www.calculator.net/fraction-calculator.html,9,0,0.00,0,25060000000,"[36,36,36,66,81,23,23,29,81,81,81,66]",2026-04-21,"Instant answer, Image pack, Sitelinks, Video, Related searches",informational,Organic
9/12 as a grade,11,11,1300,30,0.00,https://www.calculator.net/grade-calculator.html,9,0,0.00,0,60000000,"[43,54,43,54,20,54,0,5,1,36,0,0]",2026-04-02,"Video, Related searches, AI overview",informational,Organic
17 out of 20 as a percentage,20,20,6600,17,0.00,https://www.calculator.net/percent-calculator.html?ctype=22&x=46,9,0,0.00,0,454000000,"[66,81,66,66,36,10,3,24,54,66,44,36]",2026-04-20,"Video, Related searches, Questions and answers, AI overview",informational,Organic
numeral numbers,16,17,6600,68,0.00,https://www.calculator.net/roman-numeral-converter.html,9,0,0.00,0.55,67800000,"[36,36,44,44,54,36,29,29,29,29,19,36]",2026-04-21,"Image pack, Video, Related searches, Things to know, AI overview",informational,Organic
x 1 x 2 4,14,14,6600,20,0.70,https://www.calculator.net/fraction-calculator.html,9,0,6.00,0,23470000000,"[1,36,54,66,66,16,0,2,66,100,81,0]",2026-04-20,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
convert from mph to ms,11,11,1000,42,0.00,https://www.calculator.net/speed-calculator.html,9,0,0.00,0,147,"[13,100,100,100,76,67,13,55,100,100,76,67]",2026-04-04,"Instant answer, Video, Related searches",informational,Organic
roth ira return rate,13,13,1900,42,1.97,https://www.calculator.net/roth-ira-calculator.html,9,0,17.00,0.28,127,"[54,54,43,54,29,36,54,36,22,20,54,36]",2026-04-17,"Video, Related searches, AI overview",informational,Organic
calculate interest on apr,11,11,720,57,2.32,https://www.calculator.net/interest-rate-calculator.html,9,0,20.00,0.1,167000000,"[36,3,81,100,81,62,6,45,62,62,2,8]",2026-04-12,"Video, Related searches",informational,Organic
november 31,11,11,1300,24,0.00,https://www.calculator.net/date-calculator.html,9,0,0.00,0,1320,"[5,3,7,8,4,8,7,8,16,23,81,23]",2026-04-16,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
density conversion,12,12,1000,31,0.00,https://www.calculator.net/density-calculator.html,9,0,0.00,0,119,"[27,36,27,36,36,27,24,36,52,20,24,16]",2026-04-04,"Video, Related searches",informational,Organic
day of the year calculator,12,12,1000,39,0.00,https://www.calculator.net/day-counter.html,9,0,0.00,0,571000000,"[100,30,66,36,36,36,30,54,36,41,36,24]",2026-04-19,"Video, Related searches",informational,Organic
how to measure cubic feet,20,20,6600,37,0.50,https://www.calculator.net/volume-calculator.html,9,0,4.00,0,118,"[54,44,100,81,100,66,54,81,54,66,44,36]",2026-04-17,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
[intrest,15,15,2400,26,0.00,https://www.calculator.net/interest-calculator.html,9,0,0.00,0,3630000,"[24,8,6,19,0,12,16,0,36,29,5,19]",2026-04-16,"Video, Image, Related searches, AI overview",informational,Organic
area of a quadrilateral,15,15,2400,33,0.00,https://www.calculator.net/area-calculator.html,9,0,0.00,0.01,7570000,"[29,44,53,81,81,29,18,29,35,29,29,18]",2026-04-17,"Video, Image, Related searches, AI overview",informational,Organic
how to measure for bra size,14,14,6600,34,0.48,https://www.calculator.net/bra-size-calculator.html,9,0,4.00,0.69,72200000,"[36,36,54,81,54,66,54,54,29,29,100,44]",2026-04-20,"Image pack, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
money market account calculator,14,0,1900,17,1.58,https://www.calculator.net/investment-calculator.html,9,0,14.00,0.42,610000000,"[55,65,65,65,65,82,100,82,82,100,34,44]",2026-04-21,"Sitelinks, Video, Ads bottom, Related searches",commercial,Organic
how many more minutes until 12 am,13,13,1900,27,0.00,https://www.calculator.net/time-duration-calculator.html,9,0,0.00,0,1970000000,"[19,15,28,36,28,36,43,15,28,24,19,100]",2026-04-11,"Instant answer, Video, Related searches",informational,Organic
how many days till oct 15,12,12,1300,30,0.00,https://www.calculator.net/day-counter.html,9,0,0.00,0,603000000,"[1,1,0,2,4,2,12,81,100,10,0,0]",2026-04-07,"Instant answer, Video, Related searches",informational,Organic
time zone to,12,12,1000,100,0.00,https://www.calculator.net/time-zone-calculator.html,9,0,0.00,0,1780000000,"[62,62,62,62,62,55,62,62,81,62,0,81]",2026-04-03,"Video, Related searches",informational,Organic
300 km hr to mph,14,14,1600,29,0.00,https://www.calculator.net/speed-calculator.html,8,0,0.00,0,76100000,"[7,7,3,5,7,0,100,54,2,3,3,3]",2026-04-12,"Instant answer, Sitelinks, Video, Related searches",informational,Organic
days until may 1,16,16,2900,19,0.00,https://www.calculator.net/day-counter.html,8,0,0.00,0,2920000000,"[29,66,100,100,2,1,2,4,7,8,10,13]",2026-04-19,"Instant answer, Video, Related searches, AI overview",informational,Organic
nerdwallet auto loan calculator,13,13,8100,73,1.46,https://www.calculator.net/auto-loan-calculator.html,8,0,11.00,0,241000,"[7,7,13,19,100,13,13,7,44,44,8,36]",2026-04-15,"Sitelinks, Related searches",navigational,Organic
1 5th as a percentage,13,13,2900,27,0.00,https://www.calculator.net/percent-calculator.html?ctype=22&x=46,8,0,0.00,0,1020000000,"[0,0,0,0,0,0,0,0,66,100,66,100]",2026-04-15,"Video, Related searches, Questions and answers, AI overview",informational,Organic
dec to binary,16,16,5400,37,0.00,https://www.calculator.net/binary-calculator.html,8,0,0.00,0,28600000,"[16,10,13,19,16,7,8,8,36,24,16,13]",2026-04-20,"Image pack, Video, Video Carousel, Related searches",informational,Organic
whats tomorrow date,14,14,1600,37,0.48,https://www.calculator.net/day-of-the-week-calculator.html,8,0,3.00,0,1280000000,"[4,13,13,15,15,19,13,13,13,13,13,5]",2026-04-16,"Video, Related searches",informational,Organic
block calculator,15,11,2900,20,2.15,https://www.calculator.net/concrete-calculator.html,8,0,17.00,0.01,125,"[66,80,100,80,80,66,80,80,80,80,52,52]",2026-04-21,"Sitelinks, Video, People also ask, Related searches",informational,Organic
air mileage calculator,13,13,1600,41,8.89,https://www.calculator.net/mileage-calculator.html,8,0,71.00,0,38400000,"[36,29,29,16,43,65,2,54,43,29,29,20]",2026-03-01,"Video, Related searches, See results about","commercial, informational",Organic
us to uk shoe size,18,18,5400,58,0.08,https://www.calculator.net/shoe-size-conversion.html,8,0,0.00,0.26,377000000,"[44,29,36,36,24,24,36,36,36,44,36,44]",2026-04-15,"Image pack, Video, Related searches, Short videos, AI overview",informational,Organic
us to uk shoe size,20,20,5400,58,0.08,https://www.calculator.net/shoe-size-conversion.html,8,0,0.00,0.26,377000000,"[44,29,36,36,24,24,36,36,36,44,36,44]",2026-04-15,"Image pack, Video, Related searches, Short videos, AI overview",informational,Organic
compounded interest calculators,20,18,5400,54,0.33,https://www.calculator.net/compound-interest-calculator.html,8,0,2.00,0.09,69700000,"[100,81,66,66,81,81,100,81,0,19,36,24]",2026-04-21,"Video, Related searches",commercial,Organic
huge number calculator,13,13,1600,34,0.40,https://www.calculator.net/math-calculator.html,8,0,3.00,0.1,0,"[66,29,81,53,4,10,24,24,8,24,5,5]",2026-03-10,"Sitelinks, Video, Related searches, See results about",informational,Organic
250/80,13,13,1600,27,0.00,https://www.calculator.net/lcm-calculator.html,8,0,0.00,0,5400000,"[8,8,16,53,4,53,44,100,29,18,18,13]",2026-03-14,"Instant answer, Image pack, Sitelinks, Video, Related searches",informational,Organic
5/3 as decimal,20,20,5400,26,0.00,https://www.calculator.net/fraction-calculator.html,8,0,0.00,0,6410000,"[1,2,0,29,5,5,4,5,29,100,100,66]",2026-04-20,"Instant answer, Image pack, Video, Video Carousel, Related searches, AI overview",informational,Organic
minimum payment calculator,17,0,2900,33,3.08,https://www.calculator.net/debt-payoff-calculator.html,8,0,24.00,0.03,455000000,"[80,80,80,80,66,52,80,100,80,100,80,80]",2026-04-21,Related searches,informational,Organic
theoretical probability,15,15,5400,38,0.00,https://www.calculator.net/probability-calculator.html,8,0,0.00,0,163000000,"[19,29,44,81,54,13,4,8,13,16,13,13]",2026-04-16,"Image pack, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
euro to american dollar,16,16,2900,77,0.02,https://www.calculator.net/currency-calculator.html,8,0,0.00,0.03,199000000,"[65,81,54,81,81,54,100,65,54,43,43,16]",2026-04-17,"Instant answer, Video, Related searches",informational,Organic
timezone conversion,18,18,2900,72,0.00,https://www.calculator.net/time-zone-calculator.html,8,0,0.00,0,149000000,"[81,66,29,44,53,35,53,35,35,81,24,53]",2026-04-17,"Video, Related searches",informational,Organic
100-88,18,18,2900,32,0.00,https://www.calculator.net/average-calculator.html,8,0,0.00,0,66,"[10,7,100,81,66,43,54,28,66,24,54,28]",2026-04-17,"Instant answer, Sitelinks, Video",informational,Organic
loan payoff calculator extra payments,15,15,1600,57,3.10,https://www.calculator.net/amortization-calculator.html,8,0,24.00,0.09,207000000,"[52,66,66,52,52,44,52,20,44,24,36,44]",2026-04-15,"Video, Related searches",informational,Organic
army fat body calculator,17,17,2900,37,0.00,https://www.calculator.net/body-fat-calculator.html,8,0,0.00,0,80,"[1,0,16,1,81,100,0,10,0,0,1,2]",2026-04-18,"Sitelinks, Video, Related searches",informational,Organic
how much time is between two times,13,13,1600,43,0.00,https://www.calculator.net/hours-calculator.html,8,0,0.00,0,4070000000,"[65,65,65,55,55,55,34,65,44,44,44,100]",2026-03-27,"Sitelinks, Video, Related searches, AI overview",informational,Organic
how many hours until 12pm today,13,13,1600,24,0.00,https://www.calculator.net/hours-calculator.html,8,0,0.00,0,63500000,"[43,28,24,28,43,8,8,8,24,66,8,8]",2026-03-27,"Video, Related searches, AI overview",informational,Organic
48 divided by 8,17,17,5400,25,0.00,https://www.calculator.net/long-division-calculator.html,8,0,0.00,0,317000000,"[19,16,44,54,66,10,6,29,66,54,44,29]",2026-04-17,"Instant answer, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
83 lbs to kg,14,14,1600,20,0.00,https://www.calculator.net/weight-calculator.html,8,0,0.00,0,108,"[54,81,43,2,65,13,65,36,13,13,13,13]",2026-03-22,"Instant answer, Video, Related searches",informational,Organic
free tax back calculator,14,14,1600,69,0.69,https://www.calculator.net/tax-calculator.html,8,0,5.00,0.33,115000000,"[3,100,100,29,5,5,2,2,8,8,13,44]",2026-03-27,"Video, Ads bottom, Related searches",commercial,Organic
greatest common denominator,14,14,5400,52,0.41,https://www.calculator.net/gcf-calculator.html,8,0,3.00,0.16,17100000,"[19,29,36,19,19,24,10,19,36,44,44,16]",2026-04-19,"Knowledge panel, Sitelinks, Video, Related searches, Short videos, Things to know, AI overview",informational,Organic
greatest common denominator,19,19,5400,52,0.41,https://www.calculator.net/gcf-calculator.html,8,0,3.00,0.16,17100000,"[19,29,36,19,19,24,10,19,36,44,44,16]",2026-04-19,"Knowledge panel, Sitelinks, Video, Related searches, Short videos, Things to know, AI overview",informational,Organic
monthly loan payment calculator,16,16,2900,81,1.05,https://www.calculator.net/amortization-calculator.html,8,0,8.00,0.35,150000000,"[29,36,36,29,24,29,29,29,24,29,19,44]",2026-04-17,"Sitelinks, Related searches",transactional,Organic
how to calculate hourly rate from annual salary,12,12,2900,63,0.41,https://www.calculator.net/salary-calculator.html,8,0,3.00,0.07,78500000,"[54,35,29,66,44,44,54,44,44,19,12,12]",2026-04-15,"Sitelinks, Video, Related searches, Short videos, AI overview",informational,Organic
prime divisors calculator,15,15,1600,45,0.00,https://www.calculator.net/factor-calculator.html,8,0,0.00,0,1320000,"[4,0,2,100,35,29,2,16,53,44,53,44]",2026-04-17,"Sitelinks, Video, Related searches",informational,Organic
percentage weight loss calculator,15,15,1600,44,3.85,https://www.calculator.net/calorie-calculator.html,8,0,30.00,0.02,70300000,"[65,54,43,36,43,20,22,54,22,54,22,16]",2026-03-08,Related searches,informational,Organic
student loan payment,20,20,5400,79,9.15,https://www.calculator.net/student-loan-calculator.html,8,0,73.00,0.03,564000000,"[29,36,44,29,29,24,29,24,24,24,24,44]",2026-04-18,"Top stories, Video, Related searches, Things to know",informational,Organic
is a 4.3 gpa good weighted,17,17,2900,17,0.00,https://www.calculator.net/grade-calculator.html,8,0,0.00,0,1350000,[100],2026-04-17,"Sitelinks, Video, Related searches, AI overview",informational,Organic
19.99,11,11,2900,35,14.24,https://www.calculator.net/discount-calculator.html,8,0,113.00,0.01,74200000,"[66,52,52,66,66,80,80,100,80,66,80,80]",2026-04-20,"Knowledge panel, Sitelinks, Video, Featured video, Video Carousel, AI overview","informational, transactional",Organic
percentage change in percentages,15,15,5400,45,3.40,https://www.calculator.net/percent-calculator.html,8,0,27.00,0,620000000,"[0,0,0,100,7,44,0,4,29,0,0,0]",2026-04-15,"Sitelinks, Video, People also ask, Related searches, Questions and answers, AI overview",informational,Organic
how to tell tire size,13,13,2900,34,0.11,https://www.calculator.net/tire-size-calculator.html,8,0,0.00,0.15,193000000,"[65,100,54,36,43,36,43,54,65,81,100,100]",2026-04-20,"Image pack, Sitelinks, Video, Related searches, Short videos, AI overview",informational,Organic
